,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Itanhandu, MG, Brasil",2023-07-10,21.7,11.6,15.9,21.7,11.6,15.9,13.1,84.6,0.0,0,0.0,,0,0,14.4,12.6,10.3,1021.1,67.7,15.5,104.6,9.0,4,10,2023-07-10T06:39:50,2023-07-10T17:30:37,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"83708099999,83738099999,86871099999,86874099999,SBGW,C8319,86873099999"
1,"Itanhandu, MG, Brasil",2023-07-11,28.2,12.7,18.9,27.9,12.7,18.8,12.7,71.6,0.0,0,0.0,,0,0,15.1,13.1,13.7,1018.6,36.1,16.4,171.1,14.8,6,10,2023-07-11T06:39:44,2023-07-11T17:31:01,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"83708099999,83738099999,86871099999,86874099999,SBGW,C8319,86873099999"
2,"Itanhandu, MG, Brasil",2023-07-12,28.0,13.0,19.4,27.3,13.0,19.4,11.2,63.5,0.0,0,0.0,,0,0,23.8,22.5,12.2,1015.0,41.8,15.7,160.6,14.1,6,10,2023-07-12T06:39:36,2023-07-12T17:31:24,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"83708099999,83738099999,83736099999,86871099999,86874099999,SBGW,C8319,86873099999"
3,"Itanhandu, MG, Brasil",2023-07-13,29.1,17.7,22.5,28.0,17.7,22.3,10.1,46.7,0.0,0,0.0,,0,0,48.6,28.0,6.9,1011.2,42.7,17.2,168.9,14.7,7,10,2023-07-13T06:39:27,2023-07-13T17:31:48,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"83708099999,83738099999,83736099999,86871099999,86874099999,SBGW,C8319,86873099999"
4,"Itanhandu, MG, Brasil",2023-07-14,19.5,9.6,14.2,19.5,8.6,14.1,8.0,69.0,1.5,100,12.5,rain,0,0,20.5,16.2,184.6,1019.5,39.1,16.6,190.5,16.6,7,10,2023-07-14T06:39:17,2023-07-14T17:32:12,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"83708099999,83738099999,86871099999,86874099999,SBGW,C8319,86873099999"
5,"Itanhandu, MG, Brasil",2023-07-15,22.2,6.3,13.7,22.2,6.3,13.5,7.1,67.5,0.0,0,0.0,,0,0,13.7,16.4,45.6,1021.9,12.8,17.2,179.5,15.6,7,10,2023-07-15T06:39:06,2023-07-15T17:32:36,0.92,Clear,Clear conditions throughout the day.,clear-day,"83708099999,83736099999,86871099999,86874099999,SBGW,C8319,remote,86873099999"
6,"Itanhandu, MG, Brasil",2023-07-16,28.0,8.8,16.4,27.4,8.8,16.4,10.0,69.6,0.5,100,20.83,rain,0,0,20.2,13.0,77.9,1019.3,28.5,15.7,111.5,9.7,7,10,2023-07-16T06:38:54,2023-07-16T17:33:00,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"SBGW,remote,C8319"
7,"Itanhandu, MG, Brasil",2023-07-17,26.0,11.8,18.3,26.0,11.8,18.3,12.8,72.8,0.2,100,8.33,rain,0,0,22.7,7.6,9.8,1020.0,44.2,15.3,155.5,13.5,9,10,2023-07-17T06:38:40,2023-07-17T17:33:25,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"SBGW,remote,C8319"
