,datetime,tempmin,tempmax,temp
0,2023-07-10,11.6,21.7,15.9
1,2023-07-11,12.7,28.2,18.9
2,2023-07-12,13.0,28.0,19.4
3,2023-07-13,17.7,29.1,22.5
4,2023-07-14,9.6,19.5,14.2
5,2023-07-15,6.3,22.2,13.7
6,2023-07-16,8.8,28.0,16.4
7,2023-07-17,11.8,26.0,18.3
