,datetime,tempmin,tempmax,temp
0,2023-07-03,10.4,19.6,14.4
1,2023-07-04,6.9,21.8,13.1
2,2023-07-05,5.6,22.1,12.5
3,2023-07-06,6.1,21.8,12.5
4,2023-07-07,6.0,22.4,13.0
5,2023-07-08,7.0,23.6,14.8
6,2023-07-09,13.2,17.1,15.0
7,2023-07-10,11.4,21.6,15.8
