,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Itanhandu, MG, Brasil",2023-07-17,26.0,11.8,18.3,26.0,11.8,18.3,12.8,72.8,0.2,100.0,8.33,rain,0,0,22.7,7.6,9.8,1020.0,44.2,15.3,155.5,13.5,9,10,2023-07-17T06:38:40,2023-07-17T17:33:25,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"SBGW,remote,C8319"
1,"Itanhandu, MG, Brasil",2023-07-18,21.0,12.6,17.0,21.0,12.6,17.0,13.3,79.5,0.0,0.0,0.0,,0,0,30.2,18.4,217.3,1023.5,83.3,11.8,162.0,14.0,7,10,2023-07-18T06:38:25,2023-07-18T17:33:49,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBGW,remote,C8319"
2,"Itanhandu, MG, Brasil",2023-07-19,21.2,13.1,16.2,21.2,13.1,16.2,12.5,79.9,0.1,76.2,4.17,rain,0,0,23.0,14.8,180.3,1027.1,98.0,18.8,165.8,14.3,7,10,2023-07-19T06:38:10,2023-07-19T17:34:14,0.06,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"SBGW,remote,C8319"
3,"Itanhandu, MG, Brasil",2023-07-20,22.1,11.4,15.7,22.1,11.4,15.7,11.3,77.3,0.0,0.0,0.0,,0,0,21.2,10.1,166.9,1028.0,48.7,21.9,164.8,14.1,7,10,2023-07-20T06:37:53,2023-07-20T17:34:38,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
4,"Itanhandu, MG, Brasil",2023-07-21,22.6,9.5,14.9,22.6,9.5,14.9,10.0,75.6,0.1,23.8,4.17,rain,0,0,6.8,7.6,19.6,1026.7,8.4,24.1,199.0,17.0,7,10,2023-07-21T06:37:35,2023-07-21T17:35:03,0.13,Clear,Clear conditions throughout the day.,clear-day,
5,"Itanhandu, MG, Brasil",2023-07-22,22.5,9.8,15.0,22.5,9.8,15.0,9.7,73.6,0.0,4.8,0.0,,0,0,8.3,9.4,359.6,1024.9,0.0,24.1,204.5,17.8,7,10,2023-07-22T06:37:15,2023-07-22T17:35:28,0.16,Clear,Clear conditions throughout the day.,clear-day,
6,"Itanhandu, MG, Brasil",2023-07-23,23.8,9.8,16.0,23.8,9.8,16.0,9.4,68.2,0.0,0.0,0.0,,0,0,8.6,9.7,24.4,1024.8,7.2,24.1,206.2,18.0,7,10,2023-07-23T06:36:55,2023-07-23T17:35:52,0.2,Clear,Clear conditions throughout the day.,clear-day,
7,"Itanhandu, MG, Brasil",2023-07-24,25.1,11.1,17.6,25.1,11.1,17.6,9.0,59.9,0.0,0.0,0.0,,0,0,6.5,4.6,98.2,1022.7,21.5,24.1,205.0,17.9,7,10,2023-07-24T06:36:33,2023-07-24T17:36:17,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
